_id,title,noFinesset,capacity,legal_status,IsEHPAD,IsEHPA,IsESLD,IsRA,IsAJA,IsHCOMPL,IsHTEMPO,IsACC_JOUR,IsACC_NUIT,IsHAB_AIDE_SOC,IsCONV_APL,IsALZH,IsUHR,IsPASA,IsPUV,IsF1,IsF1Bis,IsF2,prixMin,coordinates.street,coordinates.postcode,coordinates.deptcode,coordinates.deptname,coordinates.city,coordinates.phone,coordinates.emailContact,coordinates.gestionnaire,coordinates.website,coordinates.latitude,coordinates.longitude,coordinates.region
17.0,Accueil de jour Aux Lucioles,010003978,18.0,Privé non lucratif,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,,Rue du Collège,1600.0,01,AIN,REYRIEUX,04 74 00 85 01,auxlucioles@orange.fr,Association de Gestion Accueil de Jour,,45.930657,4.814821,Auvergne-Rhône-Alpes
35.0,Accueil de jour Lou-Ve-Nou,010009066,12.0,Privé non lucratif,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,,220 rue de l'Ancien collège,1560.0,01,AIN,ST TRIVIER DE COURTES,06 71 40 93 06,accueil@fede01.admr.org,Association ADMR des Pays de Bresse,,46.460191,5.079833,Auvergne-Rhône-Alpes
36.0,Accueil de jour Réseau Mnemosis,010009157,12.0,Privé non lucratif,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,,57 rue de Genève Bâtiment Saints-Anges,1170.0,01,AIN,GEX,04 50 20 15 15,lereseaumnemosis@orange.fr,Le Reseau Mnemosis,,46.331417,6.057783,Auvergne-Rhône-Alpes
24.0,Accueil de jour autonome l'Entre-Temps,010007078,10.0,Public,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,,30 Impasse de la Croix du creux,1750.0,01,AIN,REPLONGES,03 85 33 53 17,direction@ajmarpa.fr,Communauté Communes du Pays Bagé,,46.312999,4.876204,Auvergne-Rhône-Alpes
19.0,Accueil de jour de Belley,010004398,10.0,Privé non lucratif,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,,40 rue du Bon-Repos,1300.0,01,AIN,BELLEY,04 79 81 05 71,adj.belley@ccass.org,Association Santé et Bien-Être,,45.755062,5.688966,Auvergne-Rhône-Alpes
34.0,Accueil de jour les Jardins d'Aloïs,010009025,12.0,Privé non lucratif,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,,26 boulevard Dupuy,1100.0,01,AIN,OYONNAX,04 74 73 90 13,lesjardinsdalois@gmail.com,Association de Gerontologie Bassin d'Oyonnax,,46.257582,5.650164,Auvergne-Rhône-Alpes
62.0,EHPAD - Croix-Rouge francaise,010784130,67.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,589 rue de Musinens,1200.0,01,AIN,BELLEGARDE SUR VALSERINE,04 50 48 07 30,mr.bellegarde@croix-rouge.fr,Croix-Rouge française,https://pourvous.croix-rouge.fr/etablissement-d-hebergement-pour-personnes-agees-dependantes-de-bellegarde,46.11558,5.819472,Auvergne-Rhône-Alpes
61.0,EHPAD Ary Geoffray,010784114,90.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,1998.8999999999999,1405 route Noblens,1250.0,01,AIN,VILLEREVERSURE,04 74 47 70 70,secretariat@arygeoffray.fr,AMAV Villereversure,,46.181968,5.384418,Auvergne-Rhône-Alpes
63.0,EHPAD Bon Repos,010784239,105.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,1933.1999999999998,2 Rue Docteur Roux,1000.0,01,AIN,BOURG EN BRESSE,04 74 32 77 00,bon.repos@lebonrepos.fr,Association Le Bon Repos,http://www.lebonrepos.fr,46.203785,5.218322,Auvergne-Rhône-Alpes
73.0,EHPAD Bon Repos,010785673,60.0,Privé non lucratif,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1819.8000000000002,40 rue du Bon-Repos,1300.0,01,AIN,BELLEY,04 79 81 05 71,mdrbonreposbelley@wanadoo.fr,L'Union Santé et Bien-être,,45.755062,5.688966,Auvergne-Rhône-Alpes
51.0,EHPAD Bon accueil,010780963,93.0,Public,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,1956.8999999999996,34 Rue Charles de Gaulle,1150.0,01,AIN,LAGNIEU,04 74 40 33 00,direction@ehpad-lagnieu.fr,EHPAD Bon accueil,,45.901387,5.350829,Auvergne-Rhône-Alpes
47.0,EHPAD Bâgé-le-Châtel,010780914,95.0,Public,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1781.3999999999999,74 rue Condamnale,1380.0,01,AIN,BAGE LE CHATEL,03 85 51 45 93,contact@ehpadbage.fr,Maison de Retraite Bage-Le-Chatel,,46.307359,4.929862,Auvergne-Rhône-Alpes
77.0,EHPAD Centre hospitalier Belley,010786010,185.0,Public,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,1739.7,52 Rue Georges Girerd,1300.0,01,AIN,BELLEY,04 79 42 59 59,direction@ch-belley.fr,CH Docteur Récamier,http://www.ch-belley.fr,45.761592,5.684647,Auvergne-Rhône-Alpes
66.0,EHPAD Centre hospitalier de Pont de Veyle,010784429,113.0,Public,True,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,1839.6,Rue Pierre Goujon,1290.0,01,AIN,PONT DE VEYLE,03 85 36 23 50,info@ch-avs.fr,Centre hospitalier Intercommunal Ain Val de Saône,http://www.ch-avs.fr,46.263472,4.890054,Auvergne-Rhône-Alpes
67.0,EHPAD Centre hospitalier de Thoissey,010784437,171.0,Public,True,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,1839.6,11 rue de l'Hôpital,1140.0,01,AIN,THOISSEY,04 74 04 99 00,info@ch-avs.fr,Centre Hospitalier Intercom Ain Val de Saône,http://www.ch-avs.fr,46.172231,4.804281,Auvergne-Rhône-Alpes
17632.0,EHPAD Château d'Angeville,010010494,50.0,Privé non lucratif,True,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,2107.2,Rue du 11 Novembre,1110.0,01,AIN,HAUTEVILLE LOMPNES,04 74 40 43 00,accueil.angeville@croix-rouge.fr,Croix-Rouge Française,http://chateau-angeville.croix-rouge.fr/,45.979928,5.605394,Auvergne-Rhône-Alpes
104.0,EHPAD Château de Valence,010788644,72.0,Privé non lucratif,True,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,2068.2,Place de la Mairie,1640.0,01,AIN,JUJURIEUX,04 74 36 89 01,direction@chateaudevalence.fr,Association Ch.De Valence Jujurieux,http://www.chateauvalence.fr,46.04012,5.409647,Auvergne-Rhône-Alpes
65.0,EHPAD Clairval,010784353,190.0,Public,True,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,False,1894.2,941 Chemin de Veissieux le Haut,1600.0,01,AIN,REYRIEUX,04 74 10 53 00,direction.trevoux@lhopitalnordouest.fr,CH de Trévoux,,45.926729,4.82971,Auvergne-Rhône-Alpes
81.0,EHPAD Cornillon,010786101,81.0,Public,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,1690.1999999999998,38 rue des Otages,1230.0,01,AIN,ST RAMBERT EN BUGEY,04 74 37 43 00,hop.cornillon@wanadoo.fr,M.R. de St Rambert En Bugey,https://hopcornillon.wixsite.com/mr-st-rambert-bugey,45.948515,5.438955,Auvergne-Rhône-Alpes
64.0,EHPAD Emile Pélicand,010784312,177.0,Public,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,1623.3,10 avenue Louis-Jourdan,1000.0,01,AIN,BOURG EN BRESSE,04 74 45 46 47,dirg@ch-bourg01.fr,Centre hospitalier Fleyriat,http://www.ch-bourg-en-bresse.fr,46.203687,5.219126,Auvergne-Rhône-Alpes
49.0,EHPAD Fondation Costaz,010780930,131.0,Public,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,1960.5000000000002,116 Avenue des Frères Costaz,1260.0,01,AIN,CHAMPAGNE EN VALROMEY,04 79 87 61 41,mdrcostaz@orange.fr,Maison de Retraite Champagne,http://www.mdr-champagnevalromey.fr,45.902081,5.677741,Auvergne-Rhône-Alpes
126.0,EHPAD Korian Home de Cortefredone,010789949,30.0,Privé commercial,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,3124.2,Le Bourg,1310.0,01,AIN,CURTAFOND,04 74 25 75 36,,Groupe Korian,https://www.korian.fr/maison-retraite/ehpad-korian-home-de-cortefredone-curtafond-01310/,46.270227,5.090655,Auvergne-Rhône-Alpes
127.0,EHPAD Korian Jardin de Brou,010789964,104.0,Privé commercial,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,3034.5,19 boulevard de l'Hippodrome,1000.0,01,AIN,BOURG EN BRESSE,04 74 22 88 00,,Groupe Korian,https://www.korian.fr/maison-retraite/ehpad-korian-jardin-de-brou-bourg-en-bresse-01000/,46.188616,5.232255,Auvergne-Rhône-Alpes
14.0,EHPAD L'Ambarroise,010002228,60.0,Privé commercial,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3154.7999999999997,58 Avenue Paul Painleve,1500.0,01,AIN,AMBERIEU EN BUGEY,04 74 46 11 11,direction.amberieu@orpea.net,SAS Résidence L'Ambroise,,45.957662,5.341405,Auvergne-Rhône-Alpes
59.0,EHPAD La Catherinette,010781078,80.0,Public,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,1976.3999999999999,,1160.0,01,AIN,PONT D AIN,04 74 39 05 75,contact@ehpad-pontdain.fr,Maison de Retraite Pont d'Ain,,46.049353,5.341126,Auvergne-Rhône-Alpes
